timestamp,device_id,data_type,data_value,numeric_value
2025-06-15 19:47:13,Station_C,PM2.5,146,146.0
2025-06-15 19:47:13,Station_C,CO2,390,390.0
2025-06-15 19:47:13,Station_C,temperature,25,25.0
2025-06-15 19:47:13,Station_C,humidity,44,44.0
2025-06-15 19:47:13,Station_C,AQI,105,105.0
2025-06-15 19:47:14,Station_B,PM2.5,190,190.0
2025-06-15 19:47:14,Station_B,CO2,523,523.0
2025-06-15 19:47:14,Station_B,temperature,32,32.0
2025-06-15 19:47:14,Station_B,humidity,59,59.0
2025-06-15 19:47:14,Station_B,AQI,222,222.0
2025-06-15 19:47:15,Station_A,PM2.5,125,125.0
2025-06-15 19:47:15,Station_A,CO2,488,488.0
2025-06-15 19:47:15,Station_A,temperature,24,24.0
2025-06-15 19:47:15,Station_A,humidity,49,49.0
2025-06-15 19:47:15,Station_A,AQI,266,266.0
2025-06-15 19:47:16,Station_B,PM2.5,132,132.0
2025-06-15 19:47:16,Station_B,CO2,541,541.0
2025-06-15 19:47:16,Station_B,temperature,29,29.0
2025-06-15 19:47:16,Station_B,humidity,47,47.0
2025-06-15 19:47:16,Station_B,AQI,96,96.0
2025-06-15 19:47:17,Station_B,PM2.5,44,44.0
2025-06-15 19:47:17,Station_B,CO2,463,463.0
2025-06-15 19:47:17,Station_B,temperature,28,28.0
2025-06-15 19:47:17,Station_B,humidity,22,22.0
2025-06-15 19:47:17,Station_B,AQI,33,33.0
2025-06-15 19:47:18,Station_B,PM2.5,107,107.0
2025-06-15 19:47:18,Station_B,CO2,324,324.0
2025-06-15 19:47:18,Station_B,temperature,15,15.0
2025-06-15 19:47:18,Station_B,humidity,61,61.0
2025-06-15 19:47:18,Station_B,AQI,252,252.0
2025-06-15 19:47:19,Station_A,PM2.5,112,112.0
2025-06-15 19:47:19,Station_A,CO2,480,480.0
2025-06-15 19:47:19,Station_A,temperature,30,30.0
2025-06-15 19:47:19,Station_A,humidity,61,61.0
2025-06-15 19:47:19,Station_A,AQI,151,151.0
2025-06-15 19:47:20,Station_A,PM2.5,164,164.0
2025-06-15 19:47:20,Station_A,CO2,498,498.0
2025-06-15 19:47:20,Station_A,temperature,18,18.0
2025-06-15 19:47:20,Station_A,humidity,78,78.0
2025-06-15 19:47:20,Station_A,AQI,262,262.0
2025-06-15 19:47:21,Station_B,PM2.5,195,195.0
2025-06-15 19:47:21,Station_B,CO2,392,392.0
2025-06-15 19:47:21,Station_B,temperature,27,27.0
2025-06-15 19:47:21,Station_B,humidity,75,75.0
2025-06-15 19:47:21,Station_B,AQI,107,107.0
2025-06-15 19:47:22,Station_C,PM2.5,29,29.0
2025-06-15 19:47:22,Station_C,CO2,333,333.0
2025-06-15 19:47:22,Station_C,temperature,28,28.0
2025-06-15 19:47:22,Station_C,humidity,53,53.0
2025-06-15 19:47:22,Station_C,AQI,171,171.0
2025-06-15 19:47:23,Station_C,PM2.5,55,55.0
2025-06-15 19:47:23,Station_C,CO2,586,586.0
2025-06-15 19:47:23,Station_C,temperature,20,20.0
2025-06-15 19:47:23,Station_C,humidity,62,62.0
2025-06-15 19:47:23,Station_C,AQI,185,185.0
2025-06-15 19:47:24,Station_C,PM2.5,130,130.0
2025-06-15 19:47:24,Station_C,CO2,466,466.0
2025-06-15 19:47:24,Station_C,temperature,29,29.0
2025-06-15 19:47:24,Station_C,humidity,69,69.0
2025-06-15 19:47:24,Station_C,AQI,189,189.0
2025-06-15 19:47:25,Station_B,PM2.5,174,174.0
2025-06-15 19:47:25,Station_B,CO2,374,374.0
2025-06-15 19:47:25,Station_B,temperature,33,33.0
2025-06-15 19:47:25,Station_B,humidity,59,59.0
2025-06-15 19:47:25,Station_B,AQI,45,45.0
2025-06-15 19:47:26,Station_C,PM2.5,104,104.0
2025-06-15 19:47:26,Station_C,CO2,476,476.0
